TIME,VALUE
2026-02-17T00:00:00.000Z,  0.15
2026-02-17T01:00:00.000Z,  0.12
2026-02-17T01:00:00.000Z,  0.00
2026-02-17T02:00:00.000Z,  0.12
2026-02-17T03:00:00.000Z,  0.12
2026-02-17T04:00:00.000Z,  0.13
2026-02-17T05:00:00.000Z,  0.11
2026-02-17T06:00:00.000Z,  0.12
2026-02-17T07:00:00.000Z,  0.11
2026-02-17T08:00:00.000Z,  0.13
2026-02-17T09:00:00.000Z,  0.15
2026-02-17T10:00:00.000Z,  0.15
2026-02-17T11:00:00.000Z,  0.15
2026-02-17T12:00:00.000Z,  0.14
2026-02-17T13:00:00.000Z,  0.16
2026-02-17T14:00:00.000Z,  0.13
2026-02-17T15:00:00.000Z,  0.15
2026-02-17T16:00:00.000Z,  0.17
2026-02-17T17:00:00.000Z,  0.16
2026-02-17T18:00:00.000Z,  0.14
2026-02-17T19:00:00.000Z,  0.15
2026-02-17T20:00:00.000Z,  0.15
2026-02-17T21:00:00.000Z,  0.18
2026-02-17T22:00:00.000Z,  0.13
2026-02-17T23:00:00.000Z,  0.15
2026-02-18T00:00:00.000Z,  0.15
2026-02-18T01:00:00.000Z,  0.12
2026-02-18T02:00:00.000Z,  0.11
2026-02-18T03:00:00.000Z,  0.13
2026-02-18T04:00:00.000Z,  0.13
2026-02-18T05:00:00.000Z,  0.11
2026-02-18T06:00:00.000Z,  0.12
2026-02-18T07:00:00.000Z,  0.12
2026-02-18T08:00:00.000Z,  0.13
2026-02-18T09:00:00.000Z,  0.14
2026-02-18T10:00:00.000Z,  0.15
2026-02-18T11:00:00.000Z,  0.15
2026-02-18T12:00:00.000Z,  0.15
2026-02-18T13:00:00.000Z,  0.14
2026-02-18T14:00:00.000Z,  0.21
2026-02-18T15:00:00.000Z,  0.33
2026-02-18T16:00:00.000Z,  0.15
2026-02-18T17:00:00.000Z,  0.12
2026-02-18T18:00:00.000Z,  0.15
2026-02-18T19:00:00.000Z,  0.15
2026-02-18T20:00:00.000Z,  0.15
2026-02-18T21:00:00.000Z,  0.15
2026-02-18T22:00:00.000Z,  0.13
2026-02-18T23:00:00.000Z,  0.14
