TIME,VALUE
2026-03-23T00:00:00.000Z,  0.00
2026-03-23T01:00:00.000Z,  0.00
2026-03-23T02:00:00.000Z,  0.00
2026-03-23T03:00:00.000Z,  0.00
2026-03-23T04:00:00.000Z,  0.00
2026-03-23T05:00:00.000Z,  0.00
2026-03-23T06:00:00.000Z,  0.00
2026-03-23T07:00:00.000Z,  0.00
2026-03-23T08:00:00.000Z,  2.00
2026-03-23T09:00:00.000Z,  2.30
2026-03-23T10:00:00.000Z,  3.30
2026-03-23T11:00:00.000Z,  2.60
2026-03-23T12:00:00.000Z,  3.20
2026-03-23T13:00:00.000Z,  2.80
2026-03-23T14:00:00.000Z,  3.90
2026-03-23T15:00:00.000Z,  3.10
2026-03-23T16:00:00.000Z,  3.40
2026-03-23T17:00:00.000Z,  3.10
2026-03-23T18:00:00.000Z,  2.60
2026-03-23T19:00:00.000Z,  2.00
2026-03-23T20:00:00.000Z,  0.50
2026-03-23T21:00:00.000Z,  0.00
2026-03-23T22:00:00.000Z,  0.00
2026-03-23T23:00:00.000Z,  0.00
2026-03-24T00:00:00.000Z,  0.00
2026-03-24T01:00:00.000Z,  0.00
2026-03-24T02:00:00.000Z,  0.00
2026-03-24T03:00:00.000Z,  0.00
2026-03-24T04:00:00.000Z,  0.00
2026-03-24T05:00:00.000Z,  0.00
2026-03-24T06:00:00.000Z,  0.00
2026-03-24T07:00:00.000Z,  0.00
2026-03-24T08:00:00.000Z,  2.30
2026-03-24T09:00:00.000Z,  2.50
2026-03-24T10:00:00.000Z,  3.50
2026-03-24T11:00:00.000Z,  2.80
2026-03-24T12:00:00.000Z,  3.50
2026-03-24T13:00:00.000Z,  2.90
2026-03-24T14:00:00.000Z,  4.60
2026-03-24T15:00:00.000Z,  3.20
2026-03-24T16:00:00.000Z,  4.00
2026-03-24T17:00:00.000Z,  2.30
2026-03-24T18:00:00.000Z,  2.20
2026-03-24T19:00:00.000Z,  1.80
2026-03-24T20:00:00.000Z,  0.40
2026-03-24T21:00:00.000Z,  0.00
2026-03-24T22:00:00.000Z,  0.00
2026-03-24T23:00:00.000Z,  0.00
