fecha,cliente,establecimiento,colegio,nodeId,nodeName,horas_detectadas,consumo_max_hora
2026-04-14,LA FLORIDA,LICEO ALTO CORDILLERA,000028-01,000028-01,LICEO ALTO CORDILLERA,05:00,4.57
2026-04-14,RENCA,CUMBRE DE CONDORES PONIENTE,000017-07,000017-07,CUMBRE DE CONDORES PONIENTE,04:00-05:00,0.4
2026-04-14,RENCA,CUMBRE DE CONDORES ORIENTE,000017-08,000017-08,CUMBRE DE CONDORES ORIENTE,04:00-05:00,2.2
2026-04-14,RENCA,ESCUELA LO VELAZQUEZ,000017-04,000017-04,ESCUELA LO VELAZQUEZ,04:00-05:00,0.29
2026-04-14,CORMUP,ANTONIO HERMIDA FABRES,000008-01,000008-01,ANTONIO HERMIDA FABRES,03:00-05:00,0.4
2026-04-14,CORMUP,CE VALLE HERMOSO,000008-11,000008-11,CE VALLE HERMOSO,04:00-05:00,4.97
2026-04-14,CORMUP,TOBALABA,000008-04,000008-04,TOBALABA,03:00-05:00,7.8
2026-04-14,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,00:00-05:00,0.98
2026-04-14,CORMUP,LUIS ARRIETA CAÑAS,000008-06,000008-06,LUIS ARRIETA CAÑAS,01:00-04:00,3.8
2026-04-14,CORMUP,JUAN BAUTISTA PASTENES,000008-09,000008-09,JUAN BAUTISTA PASTENES,04:00-05:00,1.9
2026-04-14,CORMUP,UNION NACIONAL ARABE,000008-12,000008-12,UNION NACIONAL ARABE,04:00-05:00,5.13
2026-04-14,CORMUP,ERASMO ESCALA,000008-07,000008-07,ERASMO ESCALA,01:00-05:00,0.37
2026-04-14,CORMUP,SANTAMARIA,000008-05,000008-05,SANTAMARIA,04:00-05:00,1.23
2026-04-14,CORMUP,JUAN PABLO 2,000008-14,000008-14,JUAN PABLO 2,04:00-05:00,0.28
2026-04-14,CORMUP,MATILDE HUICI NAVAS,000008-10,000008-10,MATILDE HUICI NAVAS,04:00-05:00,0.5
2026-04-14,LA REINA,DE HOSTOS,000024-01,000024-01,DE HOSTOS,03:00-05:00,1.6
2026-04-14,PROVIDENCIA,LASTARRIA,000006-01,000006-01,LASTARRIA,04:00-05:00,0.4
2026-04-14,PROVIDENCIA,CARMELA CARVAJAL,000006-02,000006-02,CARMELA CARVAJAL,00:00; 02:00-04:00,0.7
2026-04-14,PROVIDENCIA,LICEO N°7,000006-04,000006-04,LICEO N°7,00:00-05:00,0.2
2026-04-14,LAS CONDES,COLEGIO FLEMING,000022-00,000022-00,COLEGIO FLEMING,00:00-05:00,0.63
2026-04-14,DERCO,Quilicura Matriz Principal,000012-06,000012-06,Quilicura Matriz Principal,03:00-05:00,3.67
2026-04-14,AGUNSA,Modulo D,000020-02,000020-02,Modulo D,05:00,0.92
