TIME,VALUE
2026-03-23T00:00:00.000Z,  0.00
2026-03-23T01:00:00.000Z,  0.00
2026-03-23T02:00:00.000Z,  0.00
2026-03-23T03:00:00.000Z,  0.00
2026-03-23T04:00:00.000Z,  0.00
2026-03-23T05:00:00.000Z,  0.00
2026-03-23T06:00:00.000Z,  0.00
2026-03-23T07:00:00.000Z,  0.02
2026-03-23T08:00:00.000Z,  0.03
2026-03-23T09:00:00.000Z,  0.83
2026-03-23T10:00:00.000Z,  0.83
2026-03-23T11:00:00.000Z,  0.40
2026-03-23T12:00:00.000Z,  0.47
2026-03-23T13:00:00.000Z,  0.44
2026-03-23T14:00:00.000Z,  1.42
2026-03-23T15:00:00.000Z,  0.36
2026-03-23T16:00:00.000Z,  0.41
2026-03-23T17:00:00.000Z,  0.25
2026-03-23T18:00:00.000Z,  0.07
2026-03-23T19:00:00.000Z,  0.00
2026-03-23T20:00:00.000Z,  0.00
2026-03-23T21:00:00.000Z,  0.42
2026-03-23T22:00:00.000Z,  0.00
2026-03-23T23:00:00.000Z,  0.00
2026-03-24T00:00:00.000Z,  0.00
2026-03-24T01:00:00.000Z,  0.00
2026-03-24T02:00:00.000Z,  0.00
2026-03-24T03:00:00.000Z,  0.00
2026-03-24T04:00:00.000Z,  0.00
2026-03-24T05:00:00.000Z,  0.00
2026-03-24T06:00:00.000Z,  0.00
2026-03-24T07:00:00.000Z,  0.52
2026-03-24T08:00:00.000Z,  0.83
2026-03-24T09:00:00.000Z,  0.95
2026-03-24T10:00:00.000Z,  0.79
2026-03-24T11:00:00.000Z,  0.58
2026-03-24T12:00:00.000Z,  0.63
2026-03-24T13:00:00.000Z,  0.91
2026-03-24T14:00:00.000Z,  1.76
2026-03-24T15:00:00.000Z,  0.28
2026-03-24T16:00:00.000Z,  0.40
2026-03-24T17:00:00.000Z,  0.21
2026-03-24T18:00:00.000Z,  0.24
2026-03-24T19:00:00.000Z,  0.00
2026-03-24T20:00:00.000Z,  0.00
2026-03-24T21:00:00.000Z,  0.00
2026-03-24T22:00:00.000Z,  0.00
2026-03-24T23:00:00.000Z,  0.00
