TIME,VALUE
2026-03-15T00:00:00.000Z,  0.92
2026-03-15T01:00:00.000Z,  0.68
2026-03-15T02:00:00.000Z,  0.00
2026-03-15T03:00:00.000Z,  0.00
2026-03-15T04:00:00.000Z,  0.00
2026-03-15T05:00:00.000Z,  0.00
2026-03-15T06:00:00.000Z,  0.39
2026-03-15T07:00:00.000Z,  0.82
2026-03-15T08:00:00.000Z,  0.99
2026-03-15T09:00:00.000Z,  1.04
2026-03-15T10:00:00.000Z,  1.02
2026-03-15T11:00:00.000Z,  1.38
2026-03-15T12:00:00.000Z,  1.33
2026-03-15T13:00:00.000Z,  1.37
2026-03-15T14:00:00.000Z,  1.32
2026-03-15T15:00:00.000Z,  7.92
2026-03-15T16:00:00.000Z,  1.50
2026-03-15T17:00:00.000Z,  1.55
2026-03-15T18:00:00.000Z,  1.59
2026-03-15T19:00:00.000Z,  1.54
2026-03-15T20:00:00.000Z,  1.07
2026-03-15T21:00:00.000Z,  1.08
2026-03-15T22:00:00.000Z,  1.10
2026-03-15T23:00:00.000Z,  1.15
2026-03-15T00:00:00.000Z,  0.92
2026-03-15T01:00:00.000Z,  0.68
2026-03-15T02:00:00.000Z,  0.00
2026-03-15T03:00:00.000Z,  0.00
2026-03-15T04:00:00.000Z,  0.00
2026-03-15T05:00:00.000Z,  0.00
2026-03-15T06:00:00.000Z,  0.39
2026-03-15T07:00:00.000Z,  0.82
2026-03-15T08:00:00.000Z,  0.99
2026-03-15T09:00:00.000Z,  1.04
2026-03-15T10:00:00.000Z,  1.02
2026-03-15T11:00:00.000Z,  1.38
2026-03-15T12:00:00.000Z,  1.33
2026-03-15T13:00:00.000Z,  1.37
2026-03-15T14:00:00.000Z,  1.32
2026-03-15T15:00:00.000Z,  7.92
2026-03-15T16:00:00.000Z,  1.50
2026-03-15T17:00:00.000Z,  1.55
2026-03-15T18:00:00.000Z,  1.59
2026-03-15T19:00:00.000Z,  1.54
2026-03-15T20:00:00.000Z,  1.07
2026-03-15T21:00:00.000Z,  1.08
2026-03-15T22:00:00.000Z,  1.10
2026-03-15T23:00:00.000Z,  1.15
2026-03-16T00:00:00.000Z,  1.08
2026-03-16T01:00:00.000Z,  0.75
2026-03-16T02:00:00.000Z,  0.00
2026-03-16T03:00:00.000Z,  0.01
2026-03-16T04:00:00.000Z,  0.00
2026-03-16T05:00:00.000Z,  0.00
2026-03-16T06:00:00.000Z,  0.43
2026-03-16T07:00:00.000Z,  0.87
2026-03-16T08:00:00.000Z,  1.15
2026-03-16T09:00:00.000Z,  1.16
2026-03-16T10:00:00.000Z,  1.24
2026-03-16T11:00:00.000Z,  1.11
2026-03-16T12:00:00.000Z,  0.90
2026-03-16T13:00:00.000Z,  1.04
2026-03-16T14:00:00.000Z,  1.32
2026-03-16T15:00:00.000Z,  1.32
2026-03-16T16:00:00.000Z,  0.84
2026-03-16T17:00:00.000Z,  0.45
2026-03-16T18:00:00.000Z,  0.59
2026-03-16T19:00:00.000Z,  0.73
2026-03-16T20:00:00.000Z,  0.70
2026-03-16T21:00:00.000Z,  0.70
2026-03-16T22:00:00.000Z,  1.03
2026-03-16T23:00:00.000Z,  2.04
2026-03-16T00:00:00.000Z,  1.08
2026-03-16T01:00:00.000Z,  0.75
2026-03-16T02:00:00.000Z,  0.00
2026-03-16T03:00:00.000Z,  0.01
2026-03-16T04:00:00.000Z,  0.00
2026-03-16T05:00:00.000Z,  0.00
2026-03-16T06:00:00.000Z,  0.43
2026-03-16T07:00:00.000Z,  0.87
2026-03-16T08:00:00.000Z,  1.15
2026-03-16T09:00:00.000Z,  1.16
2026-03-16T10:00:00.000Z,  1.24
2026-03-16T11:00:00.000Z,  1.11
2026-03-16T12:00:00.000Z,  0.90
2026-03-16T13:00:00.000Z,  1.04
2026-03-16T14:00:00.000Z,  1.32
2026-03-16T15:00:00.000Z,  1.32
2026-03-16T16:00:00.000Z,  0.84
2026-03-16T17:00:00.000Z,  0.45
2026-03-16T18:00:00.000Z,  0.59
2026-03-16T19:00:00.000Z,  0.73
2026-03-16T20:00:00.000Z,  0.70
2026-03-16T21:00:00.000Z,  0.70
2026-03-16T22:00:00.000Z,  1.03
2026-03-16T23:00:00.000Z,  2.04
